framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
c,FromPlan,1,26,5,130,118,0.9076923076923077,1.3299558738357045,1.5023253871003677,1.0593378607809847,2.4242424242424234,118,1.6072449269960365,60.72449269960365,c,130,118,12,7,0,5,0,0
c,FromPlan,2,26,10,260,250,0.9615384615384616,1.4921395980217549,1.7923497267759565,1.276050190943808,2.611602812203041,250,1.8053887319425692,80.53887319425692,c,130,118,12,7,0,5,0,0
c,FromPlan,3,26,10,260,250,0.9615384615384616,1.618239921331085,1.942987101496832,1.3337221845914553,2.8932911853718055,250,1.9234361603580679,92.34361603580679,c,130,118,12,7,0,5,0,0
c,FromPlan,4,26,5,130,125,0.9615384615384616,1.7104483803908452,2.066331417624521,1.3640323584318608,3.1635750421585165,125,2.0170093794511335,101.70093794511334,c,130,118,12,7,0,5,0,0
c,FromPlan,5,26,1,26,25,0.9615384615384616,1.7857855228446367,2.2105263157894735,1.6851851851851851,3.1635750421585165,25,2.0954790324799193,109.54790324799193,c,130,118,12,7,0,5,0,0
c,Naive,1,26,5,130,118,0.9076923076923077,1.5203296439568392,1.2823322953907663,1.0262611431069548,2.4615384615384617,118,1.5278644550018692,52.786445500186915,c,130,118,12,7,0,5,0,0
c,Naive,2,26,10,260,253,0.9730769230769231,1.6623342380965278,1.3980872683801553,1.0995334370139969,2.6031746031746033,253,1.6677917490017,66.77917490017,c,130,118,12,7,0,5,0,0
c,Naive,3,26,10,260,256,0.9846153846153847,1.764010850665691,1.4192961165048545,1.1379495203894388,2.7713675213675213,256,1.753308344577191,75.3308344577191,c,130,118,12,7,0,5,0,0
c,Naive,4,26,5,130,129,0.9923076923076923,1.8187773533805085,1.5421490593342984,1.1755656108597285,2.7713675213675213,129,1.8107572020502904,81.07572020502904,c,130,118,12,7,0,5,0,0
c,Naive,5,26,1,26,26,1.0,1.854496450587108,1.567074529667149,1.2162763503310625,2.7293192918192917,26,1.8546338427875693,85.46338427875693,c,130,118,12,7,0,5,0,0
