framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
halide,AllHints,4,30,5,150,44,0.29333333333333333,0.2905802975260223,0.4226995894502073,0.187528196705747,0.5476577993463219,44,1.0107901739639422,1.0790173963942218,c,150,18,132,50,77,7,2,0
halide,AllHints,5,30,1,30,10,0.3333333333333333,0.31091654292678006,0.44379512163885293,0.2025045099899993,0.5472659690562109,10,1.0135058604641245,1.3505860464124497,c,150,18,132,50,77,7,2,0
halide,ChooseHints,1,30,5,150,25,0.16666666666666666,0.20202809805138966,0.22748752263045408,0.14859660462435528,0.4541352122551731,25,1.0052637420653328,0.5263742065332755,c,150,25,125,47,74,5,1,0
halide,ChooseHints,2,30,10,300,77,0.25666666666666665,0.2278110060072388,0.22748752263045408,0.15469818013799821,0.4720717343096938,77,1.0105551911111958,1.055519111119585,c,150,25,125,47,74,5,1,0
halide,ChooseHints,3,30,10,300,97,0.3233333333333333,0.2267764541043261,0.22748752263045408,0.14859660462435528,0.7167514044878219,97,1.015874492979988,1.5874492979988108,c,150,25,125,47,74,5,1,0
halide,ChooseHints,4,30,5,150,57,0.38,0.22122564138862252,0.22748752263045408,0.14859660462435528,0.7167514044878219,57,1.0212217942817854,2.122179428178539,c,150,25,125,47,74,5,1,0
halide,ChooseHints,5,30,1,30,13,0.43333333333333335,0.21157605574945382,0.22748752263045408,0.14859660462435528,0.7167514044878219,13,1.026597242398381,2.6597242398380905,c,150,25,125,47,74,5,1,0
halide,FromPlan,1,30,5,150,24,0.16,0.36560487245663836,0.33613291803491213,0.1320553189764734,0.8243642800754822,24,1.0414873319693858,4.148733196938581,c,150,24,126,42,83,1,0,0
halide,FromPlan,2,30,10,300,84,0.28,0.36954790496512185,0.33613291803491213,0.1320553189764734,0.9978983106331463,84,1.0747184803297376,7.47184803297376,c,150,24,126,42,83,1,0,0
halide,FromPlan,3,30,10,300,111,0.37,0.36726280480757567,0.3205231138054759,0.12301804101194594,0.9978983106331463,111,1.0988089169672657,9.880891696726568,c,150,24,126,42,83,1,0,0
halide,FromPlan,4,30,5,150,66,0.44,0.35631441783173345,0.2984532704436963,0.11858071741191861,0.9978983106331463,66,1.1131055972261474,11.310559722614745,c,150,24,126,42,83,1,0,0
halide,FromPlan,5,30,1,30,15,0.5,0.3352544462465894,0.27638342708191665,0.13221794974094622,0.8822089569280369,15,1.1172163718744554,11.721637187445545,c,150,24,126,42,83,1,0,0
