data_type,framework,prompt,k,benchmark_count,subsets_per_benchmark,subset_evaluation_count,successful_subset_count,probability_validated_candidate,conditional_best_speedup,conditional_best_speedup_median,conditional_best_speedup_q1,conditional_best_speedup_q3,conditional_speedup_sample_count,expected_speedup_with_c_fallback,expected_improvement_over_c_pct,baseline_framework,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count
DOUBLE,halide,FromPlan,3,26,10,260,117,0.45,0.7288460358385815,0.5980813377232956,0.20442802377909883,1.0619525252509168,117,0.4551683687595745,-54.483163124042555,c|polly,130,28,102,40,61,1,0,0
DOUBLE,halide,FromPlan,4,26,5,130,68,0.5230769230769231,0.7271924353113988,0.5980813377232956,0.20442802377909883,1.0619525252509168,68,0.5083833407403776,-49.16166592596224,c|polly,130,28,102,40,61,1,0,0
DOUBLE,halide,FromPlan,5,26,1,26,15,0.5769230769230769,0.7054229167868684,0.5980813377232956,0.24283155300832732,1.0144311958396064,15,0.5425799520195416,-45.74200479804584,c|polly,130,28,102,40,61,1,0,0
DOUBLE,halide,Naive,1,26,5,130,42,0.3230769230769231,0.7433298343589338,0.661928067343085,0.35854715892890643,1.1237916233355694,42,0.4275978293398971,-57.24021706601029,c|polly,130,42,88,36,43,6,3,0
DOUBLE,halide,Naive,2,26,10,260,132,0.5076923076923077,0.7975775633677343,0.6852826782584107,0.3793105581991102,1.1251105497230436,132,0.6017952324617176,-39.82047675382824,c|polly,130,42,88,36,43,6,3,0
DOUBLE,halide,Naive,3,26,10,260,160,0.6153846153846154,0.8526216668933294,0.6996479220476753,0.38621811693082814,1.1251105497230436,160,0.7356232005752874,-26.43767994247126,c|polly,130,42,88,36,43,6,3,0
DOUBLE,halide,Naive,4,26,5,130,89,0.6846153846153846,0.90375538202938,0.7213351887794339,0.44442454638629747,1.1251105497230436,89,0.8303638244204652,-16.96361755795348,c|polly,130,42,88,36,43,6,3,0
DOUBLE,halide,Naive,5,26,1,26,19,0.7307692307692307,0.9540570187280341,0.7213351887794339,0.46546891738196267,1.282686183307038,19,0.8937793879516878,-10.622061204831223,c|polly,130,42,88,36,43,6,3,0
DOUBLE,noarr,AllHints,1,26,5,130,110,0.8461538461538461,0.3932002609854652,0.5842804347468815,0.11685430025653332,1.2400502956830624,110,0.4546651920736037,-54.53348079263963,c|polly,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,2,26,10,260,228,0.8769230769230769,0.5351484281950805,0.8651723586339278,0.18683555272269478,1.4111567675258372,228,0.5745426063917959,-42.54573936082041,c|polly,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,3,26,10,260,230,0.8846153846153846,0.6287408074656707,1.0265538533348728,0.23077392833109953,1.7787419008941359,230,0.6528112283821457,-34.718877161785436,c|polly,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,4,26,5,130,115,0.8846153846153846,0.6916993021702349,1.0535394325141068,0.37976055320466506,1.8893254233292738,115,0.7092994702687194,-29.070052973128057,c|polly,130,110,20,13,0,7,0,0
DOUBLE,noarr,AllHints,5,26,1,26,23,0.8846153846153846,0.742624882694798,1.054441797596424,0.4456232286519892,1.9721395263628485,23,0.7548187716861651,-24.518122831383494,c|polly,130,110,20,13,0,7,0,0
DOUBLE,noarr,ChooseHints,1,26,5,130,108,0.8307692307692308,0.30169898215915913,0.5182463213184828,0.07302928866015018,1.0393499329905167,108,0.37670651580131237,-62.329348419868765,c|polly,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,2,26,10,260,228,0.8769230769230769,0.36173989222651814,0.5250136504277134,0.1175797883354826,1.075273597536151,228,0.42790702061930713,-57.209297938069284,c|polly,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,3,26,10,260,230,0.8846153846153846,0.39286645976340157,0.599796381137489,0.11796973261625378,1.1969450099485752,230,0.44912578037033457,-55.087421962966545,c|polly,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,4,26,5,130,115,0.8846153846153846,0.40987105807709906,0.599796381137489,0.11796973261625378,1.2770080582085783,115,0.4605012521293932,-53.94987478706068,c|polly,130,108,22,13,0,9,0,0
DOUBLE,noarr,ChooseHints,5,26,1,26,23,0.8846153846153846,0.42429136758440433,0.599796381137489,0.1268888541772708,1.240802565629506,23,0.47091786456210133,-52.90821354378987,c|polly,130,108,22,13,0,9,0,0
DOUBLE,noarr,FromPlan,1,26,5,130,98,0.7538461538461538,0.2854330268669726,0.40340550593589153,0.13329324090534542,1.034702457591706,98,0.3338603837136683,-66.61396162863318,c|polly,130,98,32,24,2,5,1,0
DOUBLE,noarr,FromPlan,2,26,10,260,222,0.8538461538461538,0.310810857564162,0.42006638376538796,0.1353904331304721,1.0401594761577861,222,0.3734033228731925,-62.65966771268074,c|polly,130,98,32,24,2,5,1,0
DOUBLE,noarr,FromPlan,3,26,10,260,228,0.8769230769230769,0.3363352664412091,0.5093702459823324,0.16301275322149889,1.0401594761577861,228,0.39691320556179394,-60.30867944382061,c|polly,130,98,32,24,2,5,1,0
DOUBLE,noarr,FromPlan,4,26,5,130,115,0.8846153846153846,0.35354770012100445,0.5161129558718984,0.16301275322149889,1.050793109376293,115,0.411641667374035,-58.835833262596495,c|polly,130,98,32,24,2,5,1,0
DOUBLE,noarr,FromPlan,5,26,1,26,23,0.8846153846153846,0.36639003423526956,0.5161129558718984,0.17564736851728968,1.0509219943985753,23,0.4208426782109197,-57.91573217890803,c|polly,130,98,32,24,2,5,1,0
DOUBLE,noarr,Naive,1,26,5,130,107,0.823076923076923,0.26010251110634386,0.40642276422764223,0.06507842917404802,0.7738928871689137,107,0.3365989134389939,-66.34010865610061,c|polly,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,2,26,10,260,229,0.8807692307692307,0.3088133129950347,0.5189525522010647,0.1171717873313219,1.04429540875835,229,0.371231278982041,-62.8768721017959,c|polly,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,3,26,10,260,230,0.8846153846153846,0.3421302001681215,0.5190432206134616,0.12659582452231763,1.0489389461352077,230,0.3941330157473156,-60.58669842526845,c|polly,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,4,26,5,130,115,0.8846153846153846,0.3626536697955619,0.5277479631165536,0.12868905835721392,1.0588488226769077,115,0.40915765238878404,-59.08423476112159,c|polly,130,107,23,15,0,8,0,0
DOUBLE,noarr,Naive,5,26,1,26,23,0.8846153846153846,0.3743622954189559,0.5277479631165536,0.13199454191497156,1.055358612190167,23,0.42062830419480396,-57.9371695805196,c|polly,130,107,23,15,0,8,0,0
