framework,version,algorithm,data_type,repetition,dataset_size,speedup,optimized_time_s,baseline_time_s,baseline_framework
c,FromPlan,adi,DOUBLE,3,EXTRALARGE,1.497902077142201,57.17496533333334,85.64249933333333,c
c,FromPlan,adi,DOUBLE,4,EXTRALARGE,7.888630779745615,10.856446666666665,85.64249933333333,c
c,FromPlan,adi,DOUBLE,5,EXTRALARGE,0.9005731136541663,95.097775,85.64249933333333,c
c,Naive,adi,DOUBLE,1,EXTRALARGE,1.0170479488288913,84.20694366666667,85.64249933333333,c
c,Naive,adi,DOUBLE,2,EXTRALARGE,0.8921264671461758,95.99816,85.64249933333333,c
c,Naive,adi,DOUBLE,3,EXTRALARGE,1.0195042995878727,84.004059,85.64249933333333,c
c,Naive,adi,DOUBLE,4,EXTRALARGE,6.998419000539875,12.237406666666667,85.64249933333333,c
c,Naive,adi,DOUBLE,5,EXTRALARGE,7.348606674246162,11.65425,85.64249933333333,c
c,standard,adi,DOUBLE,1,EXTRALARGE,1.0,85.64249933333333,85.64249933333333,c
exo,AllHints,adi,DOUBLE,1,EXTRALARGE,6.604324760531453,12.967639,85.64249933333333,c
exo,AllHints,adi,DOUBLE,2,EXTRALARGE,7.556900932778839,11.333018666666668,85.64249933333333,c
exo,AllHints,adi,DOUBLE,3,EXTRALARGE,5.541235536097814,15.455488,85.64249933333333,c
exo,AllHints,adi,DOUBLE,5,EXTRALARGE,6.659816559705838,12.859588333333333,85.64249933333333,c
exo,ChooseHints,adi,DOUBLE,1,EXTRALARGE,5.840382406131868,14.663851333333334,85.64249933333333,c
exo,ChooseHints,adi,DOUBLE,2,EXTRALARGE,6.887605979099626,12.434291333333334,85.64249933333333,c
exo,ChooseHints,adi,DOUBLE,4,EXTRALARGE,7.093417516110743,12.073517333333333,85.64249933333333,c
exo,ChooseHints,adi,DOUBLE,5,EXTRALARGE,6.49509332922923,13.185722666666669,85.64249933333333,c
exo,FromPlan,adi,DOUBLE,2,EXTRALARGE,0.8738783688440366,98.00276833333334,85.64249933333333,c
